Repo.,Year,Issues,Links,Comments,ProjectsTotal,IssuesPerProject,LinksPerProject,Projects5Year,Projects2year,ProjectComponents,MaintainerTotal,IssuesPerMaintainer,LinksPerMaintainer,Maintainer5years,Maintainer2years,MaintainerComp5,MaintainerComp15,MaintainerComp25,EmptyIssues,PrivateIssues,MultiLinks,TwiceLinked,Coverage,MeanLinks,MedianLinks,MaxLinks,CrossProjectLinks,Rel.,Dup.,Sub.,Clo.,Blo.,Dep.,Epic,Spl.,Inc.,Bon.,Cau.,MeanCS,MedianCS,St.DevCS,MeanLen,MedianLen,St.DevLen,MeanDiff,MedianDiff,St.DevDiff,Cov.,NoResDup,BothResDup,DupIssuesWithoutLinks,DupIssuesWithoutDupLinks,OverlapDupIssuesRefComments,RefComments,IssuesWithRefComm,NoLinkButRefComm,Empty Desc
Apache,2000.0000,1014637.0000,264076.0000,4608221.0000,646.0000,1570.6455,408.7864,522.0000,461.0000,4.0000,11487.0000,88.3292,22.9891,5580.0000,2590.0000,24.0000,51.0000,75.0000,98500000.0000,0.0000,0.0282,0.0000,22.3600,2.4300,1.0000,598.0000,6.4100,28.3000,10.1000,32.8000,1.7000,6.1000,5.1000,4.9000,0.0000,4.1000,0.0000,1.2000,0.1900,0.0900,0.2600,136.1,120,40.6,43.2,43,17.5,94.3000,17.6000,3.0000,34.1000,46.4000,54.4000,0.2460,0.3760,0.3210,0.03
Hyperledger,2016.0000,28146.0000,16846.0000,44590.0000,32.0000,879.5625,526.4375,32.0000,32.0000,1.0000,451.0000,62.4080,37.3525,451.0000,231.0000,1.0000,2.0000,3.0000,0.0000,0.0012,0.0245,0.0012,40.2800,5.8200,7.0000,53.0000,6.2200,17.2000,3.9000,27.6000,2.9000,8.2000,0.0000,39.6000,0.5000,0.0000,0.0000,0.0000,0.3400,0.3200,0.2800,120.6,113.5,48.6,43.4,47,32.3,100.0000,42.9000,0.9000,23.9000,41.7000,12.9000,0.0890,0.1030,0.6640,1.79
IntelDAOS,2016.0000,9474.0000,2667.0000,32203.0000,2.0000,4737.0000,1333.5000,2.0000,2.0000,1.0000,73.0000,129.7808,36.5342,71.0000,62.0000,1.0000,1.0000,1.0000,0.0000,0.0023,0.0237,0.0023,28.5600,1.8700,1.0000,16.0000,3.6000,39.3000,9.7000,10.5000,8.2000,25.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3100,0.1800,0.3400,229.8,268,130.5,83.2,91,66.1,93.3000,25.5000,4.8000,42.3000,60.2000,42.9000,0.3080,0.4060,0.3790,3.8
JFrog,2006.0000,15535.0000,3303.0000,13152.0000,10.0000,1553.5000,330.3000,10.0000,9.0000,1.0000,313.0000,49.6326,10.5527,239.0000,150.0000,1.0000,1.0000,1.0000,0.0000,0.0012,0.0212,0.0012,21.5800,1.6200,1.0000,814.0000,9.9900,27.4000,19.9000,36.0000,0.8000,0.0000,7.9000,0.0000,0.0000,1.4000,0.0000,0.0000,0.3900,0.3300,0.3300,143,162,90.1,29.8,31,24.8,93.5000,39.3000,0.0060,19.1000,24.4000,21.5000,0.0780,0.0550,0.5030,13.16
Jira,2002.0000,274545.0000,110507.0000,779104.0000,30.0000,9151.5000,3683.5667,30.0000,28.0000,3.0000,6549.0000,41.9217,16.8739,2679.0000,1118.0000,1.0000,1.0000,2.0000,7280000.0000,0.0027,0.0243,0.0027,47.4100,2.1100,1.0000,242.0000,44.2900,63.8000,21.7000,2.5000,2.9000,1.0000,0.2000,0.0000,0.2000,2.5000,0.2000,1.8000,0.4400,0.3700,0.2700,188.4,182.5,54.7,41.3,43,23.2,96.6000,16.9000,4.4000,17.4000,26.2000,54.0000,0.0910,0.1710,0.6700,0.36
JiraEcosystem,2004.0000,14950.0000,12422.0000,68387.0000,101.0000,148.0198,122.9901,83.0000,68.0000,3.0000,830.0000,18.0120,14.9663,364.0000,177.0000,2.0000,6.0000,8.0000,239000.0000,0.0014,0.0159,0.0014,29.1900,3.7300,1.0000,42.0000,10.6700,22.9000,15.3000,20.0000,1.8000,5.9000,1.1000,24.3000,1.2000,1.8000,0.9000,3.9000,0.2700,0.1700,0.2700,101.1,105,33.7,29.8,31,13.9,99.1000,17.2000,2.9000,27.5000,36.8000,38.5000,0.1250,0.1540,0.4950,0.16
MariaDB,2009.0000,31229.0000,14906.0000,,11.0000,2839.0000,1355.0909,11.0000,11.0000,1.0000,494.0000,63.2166,30.1741,424.0000,242.0000,1.0000,1.0000,2.0000,0.0000,0.0029,0.0181,0.0029,42.3500,2.6900,1.0000,425.0000,2.7500,51.1000,9.4000,6.1000,0.0000,13.0000,0.0000,6.4000,0.2000,7.9000,0.0000,6.0000,0.1700,0.1800,0.1100,264.6,264.5,163.7,93.9,110,54.7,100.0000,22.4000,3.0000,16.8000,33.0000,,,,,5.45
Mindville,2015.0000,2134.0000,46.0000,,7.0000,304.8571,6.5714,7.0000,7.0000,1.0000,16.0000,133.3750,2.8750,16.0000,13.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0435,0.0000,4.0800,1.0600,1.0000,3.0000,4.3500,43.2000,38.6000,0.0000,15.9000,2.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2600,0.2500,0.0800,141.8,146,12.3,38.6,41,9.2,100.0000,0.4710,0.0590,58.3000,58.3000,,,,,25.91
Mojang,2012.0000,420819.0000,215821.0000,933348.0000,8.0000,52602.3750,26977.6250,8.0000,8.0000,1.0000,339.0000,1241.3540,636.6401,97.0000,71.0000,1.0000,1.0000,4.0000,309000.0000,0.0001,0.0012,0.0001,53.6900,1.9100,1.0000,1876.0000,5.4200,9.5000,90.0000,0.0000,0.3000,0.1000,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,0.3000,0.2100,0.3100,123.9,127,45.2,42,41.5,24.1,100.0000,0.0040,1.3000,0.7000,1.1000,42.3000,0.2120,0.4030,0.9200,0.1
MongoDB,2009.0000,137172.0000,92362.0000,368976.0000,27.0000,5080.4444,3420.8148,27.0000,27.0000,1.0000,1240.0000,110.6226,74.4855,984.0000,692.0000,1.0000,2.0000,7.0000,7290000.0000,0.0007,0.0208,0.0007,55.0700,5.3500,6.0000,189.0000,33.7700,39.9000,13.5000,1.4000,0.3000,0.0000,22.9000,15.9000,1.2000,0.0000,0.0000,1.7000,0.7000,0.7100,0.2900,159.8,145,63.9,19.8,23.5,13.1,96.7000,8.0000,5.0000,11.9000,24.1000,32.1000,0.4780,0.5730,0.6280,0.96
Qt,2003.0000,148579.0000,41402.0000,41426.0000,21.0000,7075.1905,1971.5238,21.0000,20.0000,1.0000,723.0000,205.5035,57.2642,546.0000,396.0000,1.0000,2.0000,3.0000,0.0000,0.0006,0.0128,0.0006,24.5400,3.3900,1.0000,125.0000,8.9200,22.4000,10.6000,24.4000,0.1000,0.0000,15.6000,13.5000,6.7000,0.0000,0.0000,0.0000,0.2700,0.2100,0.2700,141.9,155.5,58.3,51.8,47.5,40.8,93.4000,20.2000,3.3000,35.8000,65.0000,47.9000,0.0700,0.1450,0.4970,0.11
RedHat,2001.0000,353000.0000,127721.0000,859880.0000,241.0000,1464.7303,529.9627,240.0000,239.0000,2.0000,3545.0000,99.5769,36.0285,2638.0000,2056.0000,2.0000,5.0000,19.0000,2830000.0000,0.0038,0.0234,0.0038,35.0700,2.0300,1.0000,161.0000,29.2500,25.9000,4.9000,20.8000,15.4000,15.2000,0.0000,0.0000,0.1000,8.9000,0.0000,2.6000,0.3000,0.1900,0.3000,116.3,121.5,26.9,34.9,39.5,15.9,94.0000,26.7000,1.8000,40.9000,54.1000,47.0000,0.0930,0.1600,0.5760,0.04
Sakai,2004.0000,50550.0000,20292.0000,180191.0000,53.0000,953.7736,382.8679,35.0000,16.0000,1.0000,387.0000,130.6202,52.4341,109.0000,64.0000,1.0000,1.0000,1.0000,0.0000,0.0026,0.0217,0.0026,37.7000,1.9500,1.0000,125.0000,1.4800,49.0000,9.3000,17.0000,4.8000,0.0000,13.0000,0.0000,0.0000,6.7000,0.0000,0.0000,0.3200,0.2200,0.2500,139.9,138.5,33.5,32.8,37,16.3,100.0000,18.7000,3.2000,21.5000,36.5000,47.8000,0.1460,0.3050,0.6220,0.07
SecondLife,2007.0000,1867.0000,674.0000,15728.0000,2.0000,933.5000,337.0000,2.0000,2.0000,1.0000,194.0000,9.6237,3.4742,12.0000,8.0000,1.0000,1.0000,2.0000,0.0000,0.0045,0.0596,0.0045,25.9200,2.1100,1.0000,36.0000,3.3300,29.5000,0.0000,49.8000,7.6000,0.0000,4.4000,0.0000,0.0000,2.2000,0.0000,0.0000,0.2200,0.1700,0.2000,118.8,120,31.4,38.8,31,21.5,93.5000,,,51.2000,63.1000,66.0000,0.1870,0.5890,0.3340,9.8
Sonatype,2008.0000,87284.0000,4975.0000,339127.0000,5.0000,17456.8000,995.0000,5.0000,5.0000,1.0000,1105.0000,78.9900,4.5023,835.0000,364.0000,2.0000,2.0000,2.0000,229000.0000,0.0004,0.0150,0.0004,5.8700,2.4600,1.0000,46.0000,1.6400,40.0000,7.7000,30.1000,0.0000,0.0000,3.6000,0.2000,0.1000,0.0000,8.1000,5.3000,0.2200,0.2200,0.1100,135.5,139,43.7,45.1,45.5,10.6,95.0000,21.3000,2.0000,93.2000,96.1000,93.7000,0.1340,0.3660,0.0440,0.7
Spring,2003.0000,69156.0000,14716.0000,186077.0000,80.0000,864.4500,183.9500,54.0000,32.0000,1.0000,136.0000,508.5000,108.2059,36.0000,16.0000,2.0000,3.0000,4.0000,0.0000,0.0011,0.0095,0.0011,23.0500,2.2000,1.0000,56.0000,11.2200,47.7000,12.1000,13.4000,0.1000,0.0000,12.1000,11.3000,0.0000,0.0000,0.0000,0.0000,0.1600,0.1800,0.1400,115.7,115.5,54.2,38.3,41,12.8,96.7000,19.4000,2.2000,36.3000,48.4000,51.1000,0.0750,0.1480,0.5100,4.75